runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
15,3657,599.674,0,333,333,333,0,20
16,3635,599.778,0,333,333,333,0,20
17,3645,600.054,0,333,333,333,0,20
18,3665,599.962,0,333,333,333,0,20
19,3636,600.144,0,333,333,333,0,20
20,3720,599.837,0,333,333,333,0,20
21,3684,599.575,0,333,333,333,0,20
22,3660,599.992,0,333,333,333,0,20
23,3667,599.407,0,333,333,333,0,20
24,3608,600.145,0,333,333,333,0,20
25,3735,599.584,0,333,333,333,0,20
26,3670,600.372,0,333,333,333,0,20
27,3619,600.116,0,333,333,333,0,20
28,3679,599.673,0,333,333,333,0,20
29,3591,600.67,0,333,333,333,0,20
0,3635,600.055,0,333,333,333,0,21
1,3656,604.305,0,333,333,333,0,21
2,3716,601.078,0,333,333,333,0,21
3,3601,602.617,0,333,333,333,0,21
4,3636,600.132,0,333,333,333,0,21
5,3654,600.178,0,333,333,333,0,21
6,3661,600.046,0,333,333,333,0,21
7,3686,600.341,0,333,333,333,0,21
8,3556,599.888,0,333,333,333,0,21
9,3646,599.758,0,333,333,333,0,21
10,3618,600.179,0,333,333,333,0,21
11,3656,600.414,0,333,333,333,0,21
12,3641,599.825,0,333,333,333,0,21
13,3648,599.511,0,333,333,333,0,21
14,3692,599.997,0,333,333,333,0,21
15,3659,599.867,0,333,333,333,0,21
16,3568,599.903,0,333,333,333,0,21
17,3706,600.164,0,333,333,333,0,21
18,3628,599.46,0,333,333,333,0,21
19,3651,599.825,0,333,333,333,0,21
20,3658,599.842,0,333,333,333,0,21
21,3670,599.871,0,333,333,333,0,21
22,3607,599.67,0,333,333,333,0,21
23,3700,599.791,0,333,333,333,0,21
24,3638,599.788,0,333,333,333,0,21
25,3596,599.973,0,333,333,333,0,21
26,3634,599.814,0,333,333,333,0,21
27,3631,599.888,0,333,333,333,0,21
28,3652,600.023,0,333,333,333,0,21
29,3579,600.514,0,333,333,333,0,21
0,3651,600.119,0,333,333,333,0,22
1,3604,599.848,0,333,333,333,0,22
2,3574,603.805,0,333,333,333,0,22
3,3606,599.582,0,333,333,333,0,22
4,3547,600.003,0,333,333,333,0,22
5,3586,599.452,0,333,333,333,0,22
6,3594,599.921,0,333,333,333,0,22
7,3568,600.034,0,333,333,333,0,22
8,3523,599.412,0,333,333,333,0,22
9,3595,599.919,0,333,333,333,0,22
10,3639,600.031,0,333,333,333,0,22
11,3589,599.945,0,333,333,333,0,22
12,3621,600.033,0,333,333,333,0,22
13,3580,600.232,0,333,333,333,0,22
14,3612,599.777,0,333,333,333,0,22
15,3620,599.913,0,333,333,333,0,22
16,3487,599.438,0,333,333,333,0,22
17,3656,599.882,0,333,333,333,0,22
18,3698,599.727,0,333,333,333,0,22
19,3594,599.4,0,333,333,333,0,22
20,3622,599.793,0,333,333,333,0,22
21,3665,599.991,0,333,333,333,0,22
22,3616,600.051,0,333,333,333,0,22
23,3630,599.969,0,333,333,333,0,22
24,3557,600.05,0,333,333,333,0,22
25,3587,600.309,0,333,333,333,0,22
26,3582,599.812,0,333,333,333,0,22
